# Parámetros:  ./calcular_cdt 16 32 MER DES 10000
# Ejecutando orden:  ./gen_traza MER DES 10000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
           17088              32               2        0.062500
           17120              32               2        0.062500
           17152              32               2        0.062500
           17184              32               2        0.062500
           17216              32               2        0.062500
           17248              32               2        0.062500
           17280              32               2        0.062500
           17312              32               2        0.062500
           17344              32               2        0.062500
           17376              32               2        0.062500
           17408              32               2        0.062500
           17440              32               2        0.062500
           17472              32               2        0.062500
           17504              32               2        0.062500
           17536              32               2        0.062500
           17568              32               2        0.062500
           17600              32               2        0.062500
           17632              32               2        0.062500
           17664              32               2        0.062500
           17696              32               2        0.062500
           17728              32               2        0.062500
           17760              32               2        0.062500
           17792              32               2        0.062500
           17824              32               2        0.062500
           17856              32               2        0.062500
           17888              32               2        0.062500
           17920              32               2        0.062500
           17952              32               2        0.062500
           17984              32               2        0.062500
           18016              32               2        0.062500
           18048              32               2        0.062500
           18080              32               2        0.062500
           18112              32               2        0.062500
           18144              32               2        0.062500
           18176              32               2        0.062500
           18208              32               2        0.062500
           18240              32               2        0.062500
           18272              32               2        0.062500
           18304              32               2        0.062500
           18336              32               2        0.062500
           18368              32               2        0.062500
           18400              32               2        0.062500
           18432              32               2        0.062500
           18464              32               2        0.062500
           18496              32               2        0.062500
           18528              32               2        0.062500
           18560              32               2        0.062500
           18592              32               2        0.062500
           18624              32               2        0.062500
           18656              32               2        0.062500
           18688              32               2        0.062500
           18720              32               2        0.062500
           18752              32               2        0.062500
           18784              32               2        0.062500
           18816              32               2        0.062500
           18848              32               2        0.062500
           18880              32               2        0.062500
           18912              32               2        0.062500
           18944              32               2        0.062500
           18976              32               2        0.062500
           19008              32               2        0.062500
           19040              32               2        0.062500
           19072              32               2        0.062500
           19104              32               2        0.062500
           19136              32               2        0.062500
           19168              32               2        0.062500
           19200              32               2        0.062500
           19232              32               2        0.062500
           19264              32               2        0.062500
           19296              32               2        0.062500
           19328              32               2        0.062500
           19360              32               2        0.062500
           19392              32               2        0.062500
           19424              32               2        0.062500
           19456              32               2        0.062500
           19488              32               2        0.062500
           19520              32               2        0.062500
           19552              32               2        0.062500
           19584              32               2        0.062500
           19616              32               2        0.062500
           19648              32               2        0.062500
           19680              32               2        0.062500
           19712              32               2        0.062500
           19744              32               2        0.062500
           19776              32               2        0.062500
           19808              32               2        0.062500
           19840              32               2        0.062500
           19872              32               2        0.062500
           19904              32               2        0.062500
           19936              32               2        0.062500
           19968              32               2        0.062500
           20000              32               2        0.062500
           20032              32               2        0.062500
           20064              32               4        0.125000
           20096              32               4        0.125000
           20128              32               4        0.125000
           20160              32               3        0.093750
           20192              32               2        0.062500
           20224              32               4        0.125000
           20256              32               4        0.125000
           20288              32               4        0.125000
           20320              32               5        0.156250
           20352              32               5        0.156250
           20384              32               4        0.125000
           20416              32               3        0.093750
           20448              32               4        0.125000
           20480              32               2        0.062500
           20512              32               2        0.062500
           20544              32               4        0.125000
           20576              32               4        0.125000
           20608              32               4        0.125000
           20640              32               4        0.125000
           20672              32               2        0.062500
           20704              32               4        0.125000
           20736              32               6        0.187500
           20768              32               4        0.125000
           20800              32               4        0.125000
           20832              32               6        0.187500
           20864              32               4        0.125000
           20896              32               4        0.125000
           20928              32               4        0.125000
           20960              32               4        0.125000
           20992              32               4        0.125000
           21024              32               4        0.125000
           21056              32               4        0.125000
           21088              32               5        0.156250
           21120              32               5        0.156250
           21152              32               4        0.125000
           21184              32               2        0.062500
           21216              32               2        0.062500
           21248              32               4        0.125000
